Feature,Radiologist 1 Clinical Plausibility (Agreement),Radiologist 1 Clinical Relevance (Importance),Radiologist 1 Clinical Confidence (Certainty),Radiologist 2 Clinical Plausibility (Agreement),Radiologist 2 Clinical Relevance (Importance),Radiologist 2 Clinical Confidence (Certainty),XGBoost,RandomForest,Decision Tree,TabNet
abdominal liquid,2,2,3,3,3,3,0,0,0,1
age,3,3,3,3,3,3,0,0,0,0
anxiety,1,1,1,1,1,1,0,0,0,0
asymptomatic,2,1,1,3,3,3,0,0,0,1
back pain,1,1,1,1,3,2,0,1,0,1
bone fractures,1,1,1,1,1,1,0,0,0,0
breathing difficulty,3,4,4,3,4,3,1,1,0,0
cardiac tamponade,3,4,4,3,4,4,0,0,0,0
chronic obstructive pulmonary disease,3,3,3,3,3,3,0,0,0,0
congestive heart failure,4,4,4,4,4,4,1,1,0,1
coughing,3,3,2,3,3,2,0,0,0,1
cyanosis,3,4,4,3,4,4,0,0,0,0
diastolic blood pressure (mmHg),2,2,2,3,3,3,0,0,1,1
diaphoresis,2,2,2,2,3,2,1,0,0,1
distension of the jugular vein,3,3,3,3,3,3,0,0,0,0
dry cough,3,3,2,3,2,2,0,1,1,1
dyspnea,3,4,4,3,3,4,0,0,0,0
fatigue,3,2,1,4,4,4,1,1,1,1
fungal and mineral exposure,1,1,1,2,2,2,0,0,0,1
heartrate,3,4,4,3,4,4,1,0,0,0
hiatal hernia,1,1,1,1,1,1,0,0,0,0
high bone density,1,1,1,1,1,1,0,0,0,0
high heart beat intensity,3,2,2,3,2,2,0,0,0,1
hypoxemia,3,3,3,3,3,3,0,0,0,1
impaired gas exchange,3,3,3,2,2,3,0,1,0,1
impaired left ventricular function,4,4,4,3,4,4,1,1,0,1
interstitial lung disease,3,3,2,1,3,4,0,0,0,1
left precordial pleuritic chest pain,2,3,2,2,3,2,0,0,0,0
low heart beat intensity,3,3,3,3,4,4,0,0,0,1
neck pain,1,1,1,2,3,4,1,1,0,0
oxygen saturation (%),3,3,3,2,2,4,1,1,1,1
pain in the shoulders,1,3,1,3,3,3,1,1,0,1
palpitations,3,3,2,3,3,4,1,1,0,1
plaques,1,1,2,1,1,2,0,0,0,0
pleural effusion,3,4,3,3,4,4,0,0,0,1
pleural thickening,3,2,1,2,3,3,1,0,0,1
pneumonia,1,2,1,1,2,2,0,0,0,0
positional chest pain,1,1,1,1,1,1,0,0,0,1
pulmonary tuberculosis,1,1,1,1,1,1,0,0,0,0
radiation to the trapezius ridge,1,1,1,1,1,1,0,0,0,0
respiratory failure,2,3,3,2,3,3,1,0,0,0
shortness of breath,3,2,3,3,4,4,0,0,0,1
sweating,2,2,2,2,3,3,0,0,0,1
spirometry (FVC),3,3,3,3,3,3,0,0,1,1
systolic blood pressure (mmHg),3,3,2,3,3,3,1,1,0,0
temperature,1,1,2,1,1,2,1,0,0,0
volume overload,3,4,3,3,4,4,0,1,0,1
worsening of pain by inspiration,1,3,1,1,2,1,1,0,0,0
worsening of pain by lying down,1,1,1,1,1,1,0,0,0,0
